"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m1","kom","female","Bornholm","2012",1172,7615,1213,7876
"m1","kom","female","Bornholm","2013",1131,7425,1185,7721
"m1","kom","female","Bornholm","2014",1166,7545,1156,7525
"m1","kom","female","Bornholm","2015",1063,6875,1120,7283
"m1","kom","female","Bornholm","2016",1020,6550,1083,6990
"m1","kom","female","Brøndby","2007",765,7477,NA,NA
"m1","kom","female","Brøndby","2008",761,7337,NA,NA
"m1","kom","female","Brøndby","2009",828,7897,785,7569
"m1","kom","female","Brøndby","2010",815,7763,801,7664
"m1","kom","female","Brøndby","2011",798,7490,814,7714
"m1","kom","female","Brøndby","2012",768,7192,794,7480
"m1","kom","female","Brøndby","2013",810,7533,792,7406
"m1","kom","female","Brøndby","2014",802,7386,793,7367
"m1","kom","female","Brøndby","2015",753,6844,788,7254
"m1","kom","female","Brøndby","2016",773,6958,776,7062
"m1","kom","female","Brønderslev","2007",877,8146,NA,NA
"m1","kom","female","Brønderslev","2008",924,8523,NA,NA
"m1","kom","female","Brønderslev","2009",907,8380,903,8352
"m1","kom","female","Brønderslev","2010",881,8056,904,8321
"m1","kom","female","Brønderslev","2011",882,8040,890,8156
"m1","kom","female","Brønderslev","2012",856,7688,873,7927
"m1","kom","female","Brønderslev","2013",842,7535,860,7751
"m1","kom","female","Brønderslev","2014",867,7665,855,7631
"m1","kom","female","Brønderslev","2015",810,7092,840,7427
"m1","kom","female","Brønderslev","2016",781,6742,819,7162
"m1","kom","female","Christiansø","2007",NA,NA,NA,NA
"m1","kom","female","Christiansø","2008",NA,NA,NA,NA
"m1","kom","female","Christiansø","2009",NA,NA,NA,NA
"m1","kom","female","Christiansø","2010",NA,NA,NA,NA
"m1","kom","female","Christiansø","2011",NA,NA,NA,NA
"m1","kom","female","Christiansø","2012",NA,NA,NA,NA
"m1","kom","female","Christiansø","2013",NA,NA,NA,NA
"m1","kom","female","Christiansø","2014",NA,NA,NA,NA
"m1","kom","female","Christiansø","2015",NA,NA,NA,NA
"m1","kom","female","Christiansø","2016",NA,NA,NA,NA
"m1","kom","female","Dragør","2007",333,7667,NA,NA
"m1","kom","female","Dragør","2008",339,7707,NA,NA
"m1","kom","female","Dragør","2009",345,7611,339,7655
"m1","kom","female","Dragør","2010",321,7012,335,7434
"m1","kom","female","Dragør","2011",370,7948,345,7527
"m1","kom","female","Dragør","2012",341,7166,344,7366
"m1","kom","female","Dragør","2013",333,6924,348,7333
"m1","kom","female","Dragør","2014",342,7049,339,7053
"m1","kom","female","Dragør","2015",344,7048,340,7009
"m1","kom","female","Dragør","2016",344,6875,343,6984
"m1","kom","female","Egedal","2007",728,7509,NA,NA
"m1","kom","female","Egedal","2008",759,7531,NA,NA
"m1","kom","female","Egedal","2009",815,7757,767,7596
"m1","kom","female","Egedal","2010",788,7294,787,7522
"m1","kom","female","Egedal","2011",820,7404,808,7479
"m1","kom","female","Egedal","2012",843,7531,817,7420
"m1","kom","female","Egedal","2013",838,7191,834,7375
"m1","kom","female","Egedal","2014",865,7203,849,7294
"m1","kom","female","Egedal","2015",893,7208,865,7196
"m1","kom","female","Egedal","2016",768,6126,842,6843
"m1","kom","female","Esbjerg","2007",2616,8183,NA,NA
"m1","kom","female","Esbjerg","2008",2644,8189,NA,NA
"m1","kom","female","Esbjerg","2009",2551,7857,2604,8073
"m1","kom","female","Esbjerg","2010",2530,7695,2575,7909
"m1","kom","female","Esbjerg","2011",2595,7800,2559,7782
"m1","kom","female","Esbjerg","2012",2510,7500,2545,7666
"m1","kom","female","Esbjerg","2013",2506,7411,2537,7568
"m1","kom","female","Esbjerg","2014",2532,7441,2516,7448
"m1","kom","female","Esbjerg","2015",2516,7348,2518,7399
"m1","kom","female","Esbjerg","2016",2351,6826,2466,7201
